---,level_filename,full_filename,name,desc,image_med,image_icon,is_playable,is_home,is_locked
lvl_ADMIN,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""4433C78F4B45340FADE3E8B8053982AE"", ""lvl_ADMIN"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_ADMIN.umap"")","Admin level","Admin level for testing","None","None","False","False","True"
lvl_home,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""3D64885A421099C0F1BBF0BBE4F29C77"", ""lvl_home"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_home.umap"")","Home Level","Main Menu","None","None","False","False","False"
lvl_login,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""2F1AF87B48C4737157C42AA39BF6B6FA"", ""lvl_login"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/UserInterface/lvl_login.umap"")","Login Level","Background for Login screen","None","None","False","False","False"
lvl_char_ucs,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""3203F6E34A81097F3300E99EC14179BA"", ""lvl_char_ucs"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/UserInterface/lvl_char_ucs.umap"")","Character Editor level","Level to modify character using UCS","None","None","False","False","False"
lvl_quarry,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""F581B2424376FE6388BCE1A7BCCB968E"", ""lvl_quarry"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_quarry.umap"")","Home base","Starting level with home and farm","Texture2D'/Game/_DJM/Maps/Textures/lvl_quarry_med.lvl_quarry_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_quarry_icon.lvl_quarry_icon'","True","True","False"
lvl_test,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""F2AAF0F546EF6FFFE12D1DB7F12082D9"", ""lvl_test"")","(FilePath=""E:/UE4_proj/sanct/Content/_DJM/Maps/lvl_test.umap"")","TEST LEVEL","for checking stuff","Texture2D'/Engine/Functions/Engine_MaterialFunctions02/ExampleContent/Textures/testPattern2.testPattern2'","Texture2D'/Engine/Functions/Engine_MaterialFunctions02/ExampleContent/Textures/testPattern2.testPattern2'","True","True","False"
lvl_cave,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""D6DC4FC14B23F9C909A53F983167BBF4"", ""lvl_cave"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_cave.umap"")","Dark Cave","A dark cave full of minerals","Texture2D'/Game/_DJM/Maps/Textures/lvl_cave_med.lvl_cave_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_cave_icon.lvl_cave_icon'","True","False","False"
lvl_draeton,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""70DA82184A96ECF461E02AA1C2101EA5"", ""lvl_draeton"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_draeton.umap"")","Draeton","A heavily defended castle","Texture2D'/Game/_DJM/Maps/Textures/lvl_draeton_med.lvl_draeton_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_draeton_icon.lvl_draeton_icon'","True","False","False"
lvl_town_clinton,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""DC2E79E945EAE2C4CC3E3382430CEFC3"", ""lvl_town_clinton"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_town_clinton.umap"")","Clinton","A small town surrounded by hills","Texture2D'/Game/_DJM/Maps/Textures/lvl_town_clinton_med.lvl_town_clinton_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_town_clinton_icon.lvl_town_clinton_icon'","True","False","False"
lvl_garrison,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""168B50F3446F08BD86B3AF8B0C6557A6"", ""lvl_garrison"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_garrison.umap"")","Garrison","An island Garrison with lots of resources","Texture2D'/Game/_DJM/Maps/Textures/lvl_garrison_med.lvl_garrison_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_garrison_icon.lvl_garrison_icon'","True","True","False"
lvl_mountains,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""F0EC0B3645B217F6A91C08868E6EA579"", ""lvl_mountains"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_mountains.umap"")","Mountains","Mountains rich in Ore and Gems","Texture2D'/Game/_DJM/Maps/Textures/lvl_mountains_med.lvl_mountains_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_mountains_icon.lvl_mountains_icon'","True","False","False"
lvl_doctade,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""ADA991A648CB98B65E19168532433AFE"", ""lvl_doctade"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_doctade.umap"")","Doctade Castle","Medium Castle in a forest","Texture2D'/Game/_DJM/Maps/Textures/lvl_doctade_med.lvl_doctade_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_doctade_icon.lvl_doctade_icon'","True","False","False"
lvl_desert,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""1E26A1294ECABC46DA9C2087C08A5EBE"", ""lvl_desert"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_desert.umap"")","Desert","Australian Desert","Texture2D'/Game/_DJM/Maps/Textures/lvl_desert_med.lvl_desert_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_desert_icon.lvl_desert_icon'","True","False","False"
lvl_grassland,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""EFFD83A7410E8283111756AD8569D75A"", ""lvl_grassland"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_grassland.umap"")","Grass Lands","Grass lands filled with wildlife","Texture2D'/Game/_DJM/Maps/Textures/lvl_grassland_med.lvl_grassland_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_grassland_icon.lvl_grassland_icon'","True","True","False"
lvl_island,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""AC9092034C50A1381E5BC2983486F146"", ""lvl_island"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_island.umap"")","Island","Island Paradise","Texture2D'/Game/_DJM/Maps/Textures/lvl_island_med.lvl_island_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_island_icon.lvl_island_icon'","True","True","False"
lvl_mine,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""673611B643FF91B2CE2F598448367038"", ""lvl_mine"")","(FilePath=""E:/UE4_proj/sanct/Content/_DJM/Maps/lvl_Mine.umap"")","Mine","A fully procedural Mine","Texture2D'/Game/_DJM/Maps/Textures/lvl_Mine_med.lvl_Mine_med'","Texture2D'/Game/_DJM/Maps/Textures/lvl_Mine_med.lvl_Mine_med'","True","False","False"
lvl_indoor_maze,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""8380C3DF4E1C28ED95635CA30E52F48F"", ""lvl_indoor_maze"")","(FilePath=""../../../../../docs/Unreal Projects/sanct/Content/_DJM/Maps/lvl_Indoor_Maze.umap"")","Indoor Maze","Horror maze","Texture2D'/Game/_DJM/Maps/Textures/lvl_indoor_maze.lvl_indoor_maze'","Texture2D'/Game/_DJM/Maps/Textures/lvl_indoor_maze.lvl_indoor_maze'","True","False","False"
Alien_08,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""0BF2CA974BFEFE828D23A783D9F9D7BC"", ""Alien_08"")","(FilePath=""E:/UE4_proj/sanct_427_TEST/sanct_427_TEST/Content/_DJM/Maps/Alien_08.umap"")","Alien8","Aliend Landscape 8","Texture2D'/Game/_DJM/Maps/Textures/img_map_alien08.img_map_alien08'","Texture2D'/Game/_DJM/Maps/Textures/img_map_alien08.img_map_alien08'","True","False","False"
lvl_spring,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""F82F0BB54124E4F6F02D25A1F777FDF2"", ""lvl_spring"")","(FilePath=""E:/UE4_proj/sanct_427_TEST/sanct_427_TEST/Content/_DJM/Maps/lvl_spring.umap"")","Spring Mountains","Mountain range in the spring","Texture2D'/Game/_DJM/Maps/Textures/img_map_spring_mountains.img_map_spring_mountains'","Texture2D'/Game/_DJM/Maps/Textures/img_map_spring_mountains.img_map_spring_mountains'","True","True","False"
lvl_canyon,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""8AFEA34E4EEF35BE58CFDA9CDB525936"", ""lvl_canyon"")","(FilePath=""E:/UE4_proj/sanct_427_TEST/sanct_427_TEST/Content/_DJM/Maps/lvl_canyon.umap"")","Canyon","A Desert Canyon","Texture2D'/Game/_DJM/Maps/Textures/img_map_canyon.img_map_canyon'","Texture2D'/Game/_DJM/Maps/Textures/img_map_canyon.img_map_canyon'","True","False","False"
lvl_rocky_meadows,"NSLOCTEXT(""[53A6E9F2409D5055AF7848B6890ACDCF]"", ""069827C145DE4E55BC87D6A381A1132D"", ""lvl_rocky_meadows"")","(FilePath=""E:/UE4_proj/sanct_427_TEST/sanct_427_TEST/Content/_DJM/Maps/lvl_rocky_meadows.umap"")","Rocky Meadows","Rocky Meadows","Texture2D'/Game/_DJM/Maps/Textures/img_map_rocky_meadows.img_map_rocky_meadows'","Texture2D'/Game/_DJM/Maps/Textures/img_map_rocky_meadows.img_map_rocky_meadows'","True","True","False"
